Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT
1,Teresa Abelleira,MF,es Spain,23,2000,6.7,1,10,4
2,Deborah Abiodun,MF,ng Nigeria,19,2003,1,0,1,0
3,Adriana,MF,br Brazil,26,1996,2.9,0,8,2
4,Lily Agg,MF,ie Rep. of Ireland,29,1993,1.2,0,1,1
5,Eseosa Aigbogun,DF,ch Switzerland,30,1993,3.5,0,0,0
6,Rasheedat Ajibade,FW,ng Nigeria,23,1999,3.3,0,6,3
7,Michelle Alozie,DF,ng Nigeria,26,1997,4.3,0,6,0
8,Katherine Alvarado,MF,cr Costa Rica,32,1991,3,0,0,0
9,Lúcia Alves,DF,pt Portugal,25,1997,1.1,0,2,2
10,Catarina Amado,DF,pt Portugal,23,1999,1.8,0,0,0
11,Salma Amani,FW,ma Morocco,33,1989,1.2,0,2,1
12,Jonna Andersson,DF,se Sweden,30,1993,6.3,0,2,0
13,Lady Andrade,FW,co Colombia,31,1992,0.6,0,0,0
14,Ivana Andrés,DF,es Spain,28,1994,2.7,0,4,2
15,Andressa,FW,br Brazil,30,1992,0.4,0,1,1
16,Filippa Angeldahl,MF,se Sweden,25,1997,5.8,1,12,4
17,Nguyễn Thị Mỹ Anh,"DF,MF",vn Vietnam,28,1994,1,0,0,0
18,Tahnai Annis,DF,ph Philippines,33,1989,0.2,0,0,0
19,Antônia,DF,br Brazil,29,1994,2.5,0,3,1
20,Nicole Anyomi,FW,de Germany,23,2000,0.5,0,0,0
21,Carolina Arias,DF,co Colombia,32,1990,4.1,0,0,0
22,Daniela Arias,DF,co Colombia,28,1994,5,0,3,2
23,Mackenzie Arnold,GK,au Australia,29,1994,7.3,0,0,0
24,Ary Borges,MF,br Brazil,23,1999,2.3,3,7,4
25,Kosovare Asllani,MF,se Sweden,33,1989,5.1,1,5,3
26,Viviane Asseyi,"FW,MF",fr France,29,1993,0.5,0,0,0
27,Izzy Atkinson,"MF,DF",ie Rep. of Ireland,21,2001,0.3,0,0,0
28,Rosella Ayane,FW,ma Morocco,27,1996,1.5,0,1,0
29,Halimatu Ayinde,MF,ng Nigeria,28,1995,2.8,0,2,0
30,Selma Bacha,MF,fr France,22,2000,3.8,0,9,0
31,Ramona Bachmann,"MF,FW",ch Switzerland,32,1990,3.7,1,5,0
32,Najat Badri,MF,ma Morocco,35,1988,0.2,0,0,0
33,Jill Baijings,FW,nl Netherlands,22,2001,0,0,0,0
34,Yenith Bailey,GK,pa Panama,22,2001,3,0,0,0
35,Stine Ballisager Pedersen,DF,dk Denmark,29,1994,2.8,0,0,0
36,Carina Baltrip-Reyes,DF,pa Panama,24,1998,3,0,1,1
37,Barbra Banda,FW,zm Zambia,23,2000,3,1,8,3
38,Susan Banda,MF,zm Zambia,28,1995,2.4,0,1,0
39,Estefanía Banini,"MF,FW",ar Argentina,32,1990,3,0,3,1
40,Alicia Barker,DF,ph Philippines,25,1998,2.4,0,0,0
41,Amber Barrett,FW,ie Rep. of Ireland,27,1996,0.3,0,0,0
42,Elisa Bartoli,DF,it Italy,32,1991,0.3,0,0,0
43,Ona Batlle,DF,es Spain,24,1999,6.8,0,4,1
44,Angela Beard,DF,ph Philippines,25,1997,3,0,2,1
45,Beatriz,"FW,MF",br Brazil,29,1993,1.3,1,9,3
46,Chiara Beccari,FW,it Italy,18,2004,2.7,0,4,0
47,Vicki Bècho,"MF,FW",fr France,19,2003,2.5,1,6,4
48,Lorena Bedoya,MF,co Colombia,25,1997,4.9,0,7,3
49,Lineth Beerensteyn,FW,nl Netherlands,26,1996,3.3,1,12,4
50,Margaret Belemu,DF,zm Zambia,26,1997,3,0,1,0
51,Mariana Benavides,DF,cr Costa Rica,28,1994,3,0,1,1
52,Lorena Benítez,MF,ar Argentina,24,1998,1.5,0,1,0
53,Hanna Bennison,MF,se Sweden,20,2002,1.6,0,1,0
54,Nouhaila Benzina,DF,ma Morocco,25,1998,3,0,1,0
55,Guro Bergsvand,DF,no Norway,29,1994,0.1,0,0,0
56,Kholosa Biyana,MF,za South Africa,28,1994,2.3,0,4,1
57,Thea Bjelde,DF,no Norway,23,2000,3.7,0,0,0
58,Nathalie Björn,DF,se Sweden,26,1997,6.3,0,4,0
59,Stina Blackstenius,FW,se Sweden,27,1996,5.5,1,12,3
60,Deneisha Blackwood,DF,jm Jamaica,26,1997,4,0,2,1
61,Julie Blakstad,FW,no Norway,21,2001,0.6,0,0,0
62,Rebecka Blomqvist,FW,se Sweden,25,1997,1.8,3,3,3
63,Lisa Boattin,DF,it Italy,26,1997,3,0,3,1
64,Sarina Bolden,FW,ph Philippines,26,1996,2.6,1,1,1
65,Barbara Bonansea,FW,it Italy,32,1991,2.3,0,2,0
66,Aitana Bonmatí,MF,es Spain,25,1998,6.5,3,19,6
67,Florencia Bonsegundo,"FW,MF",ar Argentina,29,1993,2.4,0,5,2
68,Roselord Borgella,"FW,MF",ht Haiti,30,1993,2.1,0,4,0
69,Ana Borges,DF,pt Portugal,32,1990,3,0,0,0
70,CJ Bott,DF,nz New Zealand,28,1995,3,0,5,1
71,Sofia Bouftini,MF,ma Morocco,21,2002,0.4,0,1,0
72,Katie Bowen,DF,nz New Zealand,29,1994,3,0,3,0
73,Simone Boye Sørensen,DF,dk Denmark,31,1992,4,0,2,0
74,Jule Brand,FW,de Germany,20,2002,2.9,0,2,0
75,Marit Bratberg Lund,DF,no Norway,25,1997,0,0,0,0
76,Sophia Braun,"MF,DF",ar Argentina,22,2000,3,1,2,1
77,Millie Bright,DF,en England,29,1993,7.3,0,5,0
78,Lucy Bronze,DF,en England,31,1991,7.1,0,8,0
79,Courtney Brosnan,GK,ie Rep. of Ireland,27,1995,3,0,0,0
80,Jody Brown,MF,jm Jamaica,21,2002,3.7,0,2,0
81,Esmee Brugts,FW,nl Netherlands,19,2003,4.8,2,8,4
82,Bruninha,DF,br Brazil,20,2002,0.4,0,1,0
83,Signe Bruun,FW,dk Denmark,25,1998,0.9,0,4,0
84,Kadeisha Buchanan,DF,ca Canada,27,1995,2.5,0,1,0
85,Ryley Bugay,"MF,DF",ph Philippines,27,1996,0.3,0,0,0
86,Klara Bühl,FW,de Germany,22,2000,2.2,1,8,1
